seq_suggest,id,name,date,agency,province,budget,midPrice,bid,pct,entity,entity_raw,status,status_raw,plant,workType,fiscalYear,contractNo,signedOn,endsOn
210,68119056821,"ประกวดราคาจ้างก่อสร้างงานจ้างเหมาทำการงานบูรณะทางผิวแอสฟัลต์ งานบำรุงพิเศษและบูรณะ ทางหลวงหมายเลข 2400 ตอนควบคุม 0100 ตอน หนองหิน-เอราวัณ ตอน 1 ระหว่าง กม.24+000-กม.25+110 LT., RT. ปริมาณงาน 9,990 ตร.ม. ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2568-12-23,กรมทางหลวง,เลย,,9670045.05,9660000,,กิจการร่วมค้า ตักสิลา,กิจการร่วมค้า ตักสิลา,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,ลย.1/29/2569,2568-12-23,2569-03-23
211,68129476994,ซื้อASPHALT CONCRETE(HOT MIX) จำนวน 40 ตัน โดยวิธีเฉพาะเจาะจง,2568-12-23,กรมทางหลวง,มหาสารคาม,,101564.4,101564.4,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/64,2568-12-23,2568-12-30
212,68109275714,ประกวดราคาจ้างก่อสร้างงานบำรุงถนน สาย นภ 3007 แยกทางหลวงหมายเลข 228 - บ้านวังลาน (ตอนหนองบัวลำภู )  อำเภอศรีบุญเรือง จังหวัดหนองบัวลำภู  จำนวน  1  แห่ง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),2568-12-24,กรมทางหลวงชนบท,หนองบัวลำภู,,9224357.79,9195000,,กิจการร่วมค้า ตักสิลา,กิจการร่วมค้า ตักสิลา,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,ขทช.นภ./014/2569,2568-12-24,2569-03-09
213,68129532869,"จ้างเหมาปรับระดับผิวทาง ทางหลวงหมายเลข 213 ตอนควบคุม 0101 ตอน มหาสารคาม - หนองขอน ระหว่าง กม.5+490 - กม.5+542, กม.5+577 - กม.5+638(L) ปริมาณงาน 1 แห่ง โดยวิธีเฉพาะเจาะจง",2568-12-24,กรมทางหลวง,มหาสารคาม,,,488946,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,ข.มค.บ.13/2569,2568-12-24,2569-01-13
214,69019209244,ซื้อASPHALT CONCRETE(HOT MIX) จำนวน 45 ตัน โดยวิธีเฉพาะเจาะจง,2569-01-14,กรมทางหลวง,มหาสารคาม,,114259.95,114259.95,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/68,2569-01-14,2569-01-21
215,69019470942,ซื้อวัสดุจราจร จำนวน 8 รายการ โดยวิธีเฉพาะเจาะจง,2569-01-26,กรมทางหลวง,มหาสารคาม,,53580,53580,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/77,2569-01-26,2569-02-02
216,68109139546,"ประกวดราคาจ้างก่อสร้างซ่อมแซมผิวจราจรด้วยวิธีการเสริมผิวถนนแอสฟัลติกคอนกรีต เส้นถนนกลางบ้าน บ้านปอแดง หมู่ที่ 6 ตำบลขามเฒ่าพัฒนา กว้าง 5.00 เมตร ยาว 350.00 เมตร หนา 0.05 เมตร หรือมีพื้นที่รวมไม่น้อยกว่า 1,750.00 ตารางเมตร ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2569-01-28,องค์การบริหารส่วนตำบลขามเฒ่าพัฒนา,มหาสารคาม,,812074.15,478000,,กิจการร่วมค้า รักดี,กิจการร่วมค้า รักดี,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,002/2569,2569-01-28,2569-03-14
217,68129291079,"ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนแอสฟัลติกคอนกรีต รหัสทางหลวงท้องถิ่น มค.ถ.1-0087 บ้านปะหลาน ตำบลปะหลาน   บ้านดอนหลี่ ตำบลหนองบัวแก้ว กว้าง  6 เมตร  ยาวไม่น้อยกว่า 2,230 เมตร หนา 0.05 เมตร หรือมีพื้นที่ไม่น้อยกว่า  13,380  ตารางเมตร อำเภอพยัคฆภูมิพิสัย จังหวัดมหาสารคาม ตามแบบรูปรายการละเอียดที่องค์การบริหารส่วนจังหวัดมหาสารคาม ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2569-02-11,องค์การบริหารส่วนจังหวัดมหาสารคาม,มหาสารคาม,,8312212.98,7388000,,กิจการร่วมค้า RMN,กิจการร่ามค้า อาร์เอ็มเอ็น,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,3/2569,2569-02-11,2569-06-11
218,68129276858,"ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนแอสฟัลติกคอนกรีต รหัสทางหลวงท้องถิ่น มค.ถ.1-0055 บ้านดอนกลอย ตำบลเขวาไร่ - บ้านนาข่า ตำบลนาข่า กว้าง  6 - 8 เมตร  ยาวไม่น้อยกว่า 2,400 เมตร หนา 0.05 เมตร หรือมีพื้นที่ไม่น้อยกว่า  14,400  ตารางเมตร อำเภอวาปีปทุม จังหวัดมหาสารคาม ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2569-02-19,องค์การบริหารส่วนจังหวัดมหาสารคาม,มหาสารคาม,,9218407.73,8188000,,กิจการร่วมค้า RMN,กิจการร่ามค้า อาร์เอ็มเอ็น,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,6/2569,2569-02-19,2569-06-19
219,68129275095,"ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนแอสฟัลติกคอนกรีต รหัสทางหลวงท้องถิ่น มค.ถ.1-0073 บ้านโนนสวรรค์  ตำบลหนองแวง - บ้านปอแดง ตำบลเลิงแฝก กว้าง  6  เมตร  ยาวไม่น้อยกว่า 2,400 เมตร หนา 0.05 เมตร หรือมีพื้นที่ไม่น้อยกว่า  14,400  ตารางเมตร อำเภอกุดรัง จังหวัดมหาสารคาม ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2569-02-19,องค์การบริหารส่วนจังหวัดมหาสารคาม,มหาสารคาม,,9186676.91,5688000,,กิจการร่วมค้า RMN,กิจการร่ามค้า อาร์เอ็มเอ็น,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,7/2569,2569-02-19,2569-06-19
220,68129276566,"ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนแอสฟัลติกคอนกรีต รหัสทางหลวงท้องถิ่น มค.ถ.1-0027 บ้านแดง ตำบลหนองแสง - บ้านตำแย ตำบลแคน กว้าง  6 - 8 เมตร  ยาวไม่น้อยกว่า 1,760 เมตร หนา 0.05 เมตร หรือมีพื้นที่ไม่น้อยกว่า  14,080  ตารางเมตร อำเภอวาปีปทุม จังหวัดมหาสารคาม ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2569-02-19,องค์การบริหารส่วนจังหวัดมหาสารคาม,มหาสารคาม,,9189122.43,5688000,,กิจการร่วมค้า RMN,กิจการร่ามค้า อาร์เอ็มเอ็น,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,05/2569,2569-02-19,2569-06-19
221,68129285329,"ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนแอสฟัลติกคอนกรีต รหัสทางหลวงท้องถิ่น มค.ถ.1-0023 บ้านหนองแวง ตำบลบัวมาศ - บ้านหนองขี ตำบลนาข่า กว้าง  6 เมตร  ยาวไม่น้อยกว่า 2,110 เมตร หนา 0.05 เมตร หรือมีพื้นที่ไม่น้อยกว่า  12,660  ตารางเมตร อำเภอบรบือ จังหวัดมหาสารคาม ตามแบบรูปรายการละเอียดที่องค์การบริหารส่วนจังหวัดมหาสารคามกำหนด ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2569-02-19,องค์การบริหารส่วนจังหวัดมหาสารคาม,มหาสารคาม,,8049425.88,4898000,,กิจการร่วมค้า RMN,กิจการร่ามค้า อาร์เอ็มเอ็น,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,08/2569,2569-02-19,2569-06-19
222,68129274619,"ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนแอสฟัลติกคอนกรีต รหัสทางหลวงท้องถิ่น มค.ถ.1-0032 บ้านโพธิ์ ตำบลหนองแสง-บ้านตำแย ตำบลโพธิ์ชัย กว้าง  6-8 เมตร  ยาวไม่น้อยกว่า  1,980 เมตร หนา 0.05 เมตร หรือมีพื้นที่ไม่น้อยกว่า  11,880  ตารางเมตร อำเภอวาปีปทุม จังหวัดมหาสารคาม ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2569-02-19,องค์การบริหารส่วนจังหวัดมหาสารคาม,มหาสารคาม,,7832535.67,4788000,,กิจการร่วมค้า RMN,กิจการร่ามค้า อาร์เอ็มเอ็น,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,04/2569,2569-02-19,2569-06-19
223,69029378310,ซื้อวัสดุจราจร จำนวน 4 รายการ โดยวิธีเฉพาะเจาะจง,2569-02-20,กรมทางหลวง,มหาสารคาม,,299500,299500,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/84,2569-02-20,2569-02-27
224,69029442102,ซื้อแก๊ส LPG (ถังบรรจุ 15 กิโลกรัม) จำนวน 15 ถัง โดยวิธีเฉพาะเจาะจง,2569-02-20,กรมทางหลวง,มหาสารคาม,,7500,7500,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/35/69/16,2569-02-20,2569-02-27
225,69029419679,ซื้อวัสดุจราจร จำนวน 4 รายการ โดยวิธีเฉพาะเจาะจง,2569-02-23,กรมทางหลวง,มหาสารคาม,,491400,491400,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/86,2569-02-23,2569-03-02
226,69029420847,ซื้อวัสดุจราจร จำนวน 10 รายการ โดยวิธีเฉพาะเจาะจง,2569-02-23,กรมทางหลวง,มหาสารคาม,,222600,222600,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/87,2569-02-23,2569-03-02
227,68119318089,"ประกวดราคาจ้างก่อสร้างปรับปรุงผิวจราจรถนนถีนานนท์ช่วงแยกป่าไม้ถึงสุดเขตเทศบาลทางไปอำเภอสมเด็จ ผิวจราจรแอสฟัลท์ติก ระหว่าง กม. 43 + 950 - 48 + 498  รวมระยะทาง 4,146 เมตร หรือมีพื้นที่ไม่น้อยกว่า ๑๐๓,๔๒๓ ตารางเมตร ตำบลกาฬสินธุ์ อำเภอเมืองกาฬสินธุ์ จังหวัดกาฬสินธุ์ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",2569-02-25,เทศบาลเมืองกาฬสินธุ์,กาฬสินธุ์,,43104220.07,25848000,,กิจการร่วมค้า RMN,กิจการร่ามค้า อาร์เอ็มเอ็น,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,5/2569,2569-02-25,2569-08-24
228,69039011202,ซื้อวัสดุไฟฟ้า จำนวน 18 รายการ โดยวิธีเฉพาะเจาะจง,2569-03-02,กรมทางหลวง,มหาสารคาม,,489440,489544,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/45/69/88,2569-03-02,2569-03-10
229,69039032771,ซื้อวัสดุจราจร จำนวน 10 รายการ โดยวิธีเฉพาะเจาะจง,2569-03-04,กรมทางหลวง,มหาสารคาม,,116610,116610,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/92,2569-03-04,2569-03-11
230,69039176522,ซื้อแบริเออร์พลาสติกสีส้ม ขนาด 50x80x100 เซนติเมตร จำนวน 25 อัน โดยวิธีเฉพาะเจาะจง,2569-03-11,กรมทางหลวง,มหาสารคาม,,90000,90000,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/96,2569-03-11,2569-03-18
231,68119262200,ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงถนนแอสฟัลต์ติกคอนกรีต จากสายบ้านดงเกษม หมู่ที่ ๒ ตำบลนาแสง อำเภอศรีวิไล ถึง บ้านคำบอน หมู่ที่ ๒ ตำบลน้ำจั้น อำเภอเซกา จังหวัดบึงกาฬ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),2569-03-16,องค์การบริหารส่วนจังหวัดบึงกาฬ,บึงกาฬ,,8963097.24,8958000,,กิจการร่วมค้า RMN,กิจการร่ามค้า อาร์เอ็มเอ็น,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,E14/2569,2569-03-16,2569-06-14
232,69039274662,จ้างเหมาปรับระดับผิวทาง ทางหลวงหมายเลข 213 ตอนควบคุม 0101 ตอน มหาสารคาม - หนองขอน ระหว่าง กม.3+262 - กม.3+374 (RT.) โดยวิธีเฉพาะเจาะจง,2569-03-16,กรมทางหลวง,มหาสารคาม,,480739,480739,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,ข.มค.บ.16/2569,2569-03-16,2569-04-05
233,69049067139,ซื้อวัสดุไฟฟ้า จำนวน 17 รายการ โดยวิธีเฉพาะเจาะจง,2569-04-03,กรมทางหลวง,มหาสารคาม,,387360,387360,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/45/69/109,2569-04-03,2569-04-16
234,69049093987,ซื้อหลักนำทางล้มลุก ขนาด 8x80 ซม. พร้อมอุปรณ์ครบชุด จำนวน 40 ต้น โดยวิธีเฉพาะเจาะจง,2569-04-03,กรมทางหลวง,มหาสารคาม,,79200,79200,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/114,2569-04-03,2569-04-16
235,69049068154,ซื้อวัสดุจราจร จำนวน 9 รายการ โดยวิธีเฉพาะเจาะจง,2569-04-03,กรมทางหลวง,มหาสารคาม,,38194,38194,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/110,2569-04-03,2569-04-16
